"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"CTA|ES","01.01.2025 14:15 - 01.01.2025 14:30 (CET/CEST)","364","0","0","3452","248","8","0","0","0","0","3652","760","748","0","7120","12","68","11436","180","0","3740"
"CTA|ES","01.01.2025 14:30 - 01.01.2025 14:45 (CET/CEST)","356","0","0","3360","248","8","0","0","0","0","3504","740","832","0","7116","12","68","11308","176","0","3768"
"CTA|ES","01.01.2025 14:45 - 01.01.2025 15:00 (CET/CEST)","352","0","0","3252","248","8","0","0","0","0","3420","732","932","0","7116","8","68","11212","180","0","3792"
"CTA|ES","01.01.2025 15:00 - 01.01.2025 15:15 (CET/CEST)","356","0","0","3200","248","8","0","0","0","0","3412","740","976","0","7116","12","68","11048","180","0","3756"
"CTA|ES","01.01.2025 15:15 - 01.01.2025 15:30 (CET/CEST)","352","0","0","3192","248","8","0","0","0","0","3420","756","884","0","7116","8","68","10732","180","0","3772"
"CTA|ES","01.01.2025 15:30 - 01.01.2025 15:45 (CET/CEST)","348","0","0","3144","248","8","0","0","0","0","3416","764","888","0","7116","8","68","10696","180","0","3788"
"CTA|ES","01.01.2025 15:45 - 01.01.2025 16:00 (CET/CEST)","348","0","0","2948","248","8","0","0","0","0","3408","772","880","0","7116","8","68","10536","180","0","3812"
"CTA|ES","01.01.2025 16:00 - 01.01.2025 16:15 (CET/CEST)","352","0","0","3224","248","8","0","0","0","0","3400","800","932","0","7116","8","72","10220","180","0","3788"
"CTA|ES","01.01.2025 16:15 - 01.01.2025 16:30 (CET/CEST)","368","0","0","3176","248","8","0","0","0","0","3376","916","1180","0","7120","8","72","9468","184","0","3788"
"CTA|ES","01.01.2025 16:30 - 01.01.2025 16:45 (CET/CEST)","368","0","0","3688","248","8","0","0","0","0","3256","924","1468","0","7116","8","72","8768","184","0","3800"
"CTA|ES","01.01.2025 16:45 - 01.01.2025 17:00 (CET/CEST)","368","0","0","4148","248","8","0","0","0","0","2904","920","1648","0","7116","12","72","7584","184","0","3804"
"CTA|ES","01.01.2025 17:00 - 01.01.2025 17:15 (CET/CEST)","368","0","0","4860","248","8","0","0","0","4","2604","952","1936","0","7120","12","72","6232","184","0","3796"
"CTA|ES","01.01.2025 17:15 - 01.01.2025 17:30 (CET/CEST)","368","0","0","5116","264","8","0","0","0","188","1184","928","1800","0","7116","12","68","4568","184","0","3832"
"CTA|ES","01.01.2025 17:30 - 01.01.2025 17:45 (CET/CEST)","372","0","0","5616","284","8","0","0","0","248","388","956","2088","0","7116","8","72","3216","180","0","3828"
"CTA|ES","01.01.2025 17:45 - 01.01.2025 18:00 (CET/CEST)","372","0","0","6468","288","8","0","0","0","768","144","960","2364","0","7116","8","72","1952","180","0","3860"
"CTA|ES","01.01.2025 18:00 - 01.01.2025 18:15 (CET/CEST)","376","0","0","7152","288","8","0","0","0","1248","112","956","2604","0","7120","8","72","1080","184","0","3936"
"CTA|ES","01.01.2025 18:15 - 01.01.2025 18:30 (CET/CEST)","380","0","0","6688","308","8","0","0","0","1576","0","908","2520","0","7120","8","72","548","180","0","4072"
"CTA|ES","01.01.2025 18:30 - 01.01.2025 18:45 (CET/CEST)","376","0","0","6932","344","8","0","0","0","1624","0","892","2724","0","7116","8","68","328","160","0","4240"
"CTA|ES","01.01.2025 18:45 - 01.01.2025 19:00 (CET/CEST)","380","0","0","7348","344","8","0","0","0","1620","0","916","2784","0","7120","8","72","260","160","0","4404"
"CTA|ES","01.01.2025 19:00 - 01.01.2025 19:15 (CET/CEST)","376","0","0","7556","344","8","0","0","0","1624","0","928","2876","0","7116","8","68","232","160","0","4508"
"CTA|ES","01.01.2025 19:15 - 01.01.2025 19:30 (CET/CEST)","372","0","0","7564","336","8","0","0","0","2032","0","960","2936","0","7120","8","68","224","176","0","4648"
"CTA|ES","01.01.2025 19:30 - 01.01.2025 19:45 (CET/CEST)","372","0","0","7676","336","8","0","0","0","2124","0","948","2972","0","7120","8","68","204","180","0","4756"
"CTA|ES","01.01.2025 19:45 - 01.01.2025 20:00 (CET/CEST)","376","0","0","7748","336","8","0","0","0","2132","0","952","3044","0","7120","8","68","208","172","0","4784"
"CTA|ES","01.01.2025 20:00 - 01.01.2025 20:15 (CET/CEST)","368","0","0","7892","336","8","0","0","0","2112","0","940","3052","0","7116","8","68","196","176","0","4780"
"CTA|ES","01.01.2025 20:15 - 01.01.2025 20:30 (CET/CEST)","372","0","0","7632","336","8","0","0","0","2024","0","936","3248","0","7116","8","68","156","180","0","4824"
"CTA|ES","01.01.2025 20:30 - 01.01.2025 20:45 (CET/CEST)","376","0","0","7736","336","8","0","0","0","1988","0","932","3404","0","7116","8","68","124","184","0","4852"
"CTA|ES","01.01.2025 20:45 - 01.01.2025 21:00 (CET/CEST)","372","0","0","7860","336","8","0","0","0","2008","0","940","3484","0","7120","8","68","96","184","0","4884"
"CTA|ES","01.01.2025 21:00 - 01.01.2025 21:15 (CET/CEST)","376","0","0","7936","336","8","0","0","0","2036","0","948","3512","0","7120","8","68","92","180","0","4956"
"CTA|ES","01.01.2025 21:15 - 01.01.2025 21:30 (CET/CEST)","376","0","0","8208","336","8","0","0","0","2032","0","960","3788","0","7116","8","68","80","184","0","5040"
"CTA|ES","01.01.2025 21:30 - 01.01.2025 21:45 (CET/CEST)","368","0","0","8104","336","8","0","0","0","1852","0","948","3804","0","7120","8","64","76","180","0","5072"
"CTA|ES","01.01.2025 21:45 - 01.01.2025 22:00 (CET/CEST)","372","0","0","7868","336","8","0","0","0","1784","0","940","3780","0","7120","8","64","76","184","0","5036"
"CTA|ES","01.01.2025 22:00 - 01.01.2025 22:15 (CET/CEST)","368","0","0","7792","336","8","0","0","0","1700","0","940","3696","0","7120","8","64","76","180","0","4988"
"CTA|ES","01.01.2025 22:15 - 01.01.2025 22:30 (CET/CEST)","368","0","0","7888","336","8","0","0","0","1628","0","936","3048","0","7116","8","64","76","180","0","5012"
"CTA|ES","01.01.2025 22:30 - 01.01.2025 22:45 (CET/CEST)","360","0","0","7720","336","8","0","0","0","1528","0","968","2656","0","7120","8","64","76","180","0","5064"
"CTA|ES","01.01.2025 22:45 - 01.01.2025 23:00 (CET/CEST)","368","0","0","7472","336","8","0","0","0","1432","0","956","2472","0","7120","12","64","76","184","0","5124"
"CTA|ES","01.01.2025 23:00 - 01.01.2025 23:15 (CET/CEST)","372","0","0","7296","336","8","0","0","0","1312","0","936","2300","0","7120","8","64","76","180","0","5160"
"CTA|ES","01.01.2025 23:15 - 01.01.2025 23:30 (CET/CEST)","368","0","0","7548","336","8","0","0","0","1336","0","916","2140","0","7120","12","64","76","180","0","5212"
"CTA|ES","01.01.2025 23:30 - 01.01.2025 23:45 (CET/CEST)","364","0","0","7232","336","8","0","0","0","1080","0","908","1932","0","7120","12","64","76","180","0","5184"
