Area,MTU,Biomass - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
BZN|ES,28.04.2025 20:15 - 28.04.2025 20:30 (CET/CEST),76,0,0,2360,0,12,0,0,0,1568,0,444,1568,0,0,0,48,4124,68,0,1760
BZN|ES,28.04.2025 20:30 - 28.04.2025 20:45 (CET/CEST),76,0,0,2264,0,12,0,0,0,2056,0,440,2152,0,0,0,48,3968,68,0,1672
BZN|ES,28.04.2025 20:45 - 28.04.2025 21:00 (CET/CEST),76,0,0,2680,0,12,0,0,0,2084,0,452,2380,0,0,0,48,3852,72,0,1612
BZN|ES,28.04.2025 21:00 - 28.04.2025 21:15 (CET/CEST),76,0,0,2708,0,12,0,0,0,2132,0,500,2980,0,0,0,48,3692,72,0,1580
BZN|ES,28.04.2025 21:15 - 28.04.2025 21:30 (CET/CEST),76,0,0,2720,0,12,0,0,0,2200,0,496,3352,0,0,0,48,3096,72,0,1580
BZN|ES,28.04.2025 21:30 - 28.04.2025 21:45 (CET/CEST),76,0,0,2848,0,16,0,0,0,2260,4,500,3372,0,0,0,48,2820,72,0,1588
BZN|ES,28.04.2025 21:45 - 28.04.2025 22:00 (CET/CEST),76,0,0,2968,0,16,0,0,0,2404,4,556,3556,0,0,0,48,2820,72,0,1584
BZN|ES,28.04.2025 22:00 - 28.04.2025 22:15 (CET/CEST),76,0,0,3124,0,16,0,0,0,2448,4,568,3592,0,0,0,48,2816,68,0,1572
BZN|ES,28.04.2025 22:15 - 28.04.2025 22:30 (CET/CEST),80,0,0,3332,0,16,0,0,0,2416,4,620,3708,0,0,0,48,2772,68,0,1604
BZN|ES,28.04.2025 22:30 - 28.04.2025 22:45 (CET/CEST),76,0,0,3500,0,16,0,0,0,2320,8,640,3696,0,0,0,48,2764,68,0,1576
BZN|ES,28.04.2025 22:45 - 28.04.2025 23:00 (CET/CEST),80,0,0,3772,0,16,0,0,0,2324,8,648,3720,0,0,0,48,2724,68,0,1444
BZN|ES,28.04.2025 23:00 - 28.04.2025 23:15 (CET/CEST),80,0,0,3980,0,16,0,0,0,2336,8,676,3724,0,0,0,48,2700,68,0,1376
BZN|ES,28.04.2025 23:15 - 28.04.2025 23:30 (CET/CEST),80,0,0,4192,0,12,0,0,0,2336,8,688,3720,0,0,0,48,2676,68,0,1372
BZN|ES,28.04.2025 23:30 - 28.04.2025 23:45 (CET/CEST),80,0,0,4408,0,12,0,0,0,2360,8,676,3640,0,0,0,44,2652,84,0,1380
BZN|ES,28.04.2025 23:45 - 29.04.2025 00:00 (CET/CEST),80,0,0,6032,0,12,0,0,0,2508,8,696,3736,0,0,0,40,2764,92,0,1848
